//Legend: b: base, gn: growth min, gx: growth max, en: evolution min, ex: evolution max
//Note: Only the growth values are in a 1/10 scale, the other stats are 1/1 (eg: 5 gmAGI means 0.5 agi)
//class,evo_class,name,foodID,hungryDelay,base_size,evo_size,race,element,bASPD,bHP,bSP,bSTR,bAGI,bVIT,bINT,bDEX,bLUK,gnHP,gxHP,gnSP,gxSP,gnSTR,gxSTR,gnAGI,gxAGI,gnVIT,gxVIT,gnINT,gxINT,gnDEX,gxDEX,gnLUK,gxLUK,enHP,exHP,enSP,exSP,enSTR,exSTR,enAGI,exAGI,enVIT,exVIT,enINT,exINT,enDEX,exDEX,enLUK,exLUK
6001,6009,Lif,537,60000,0,1,7,0,60,1000000,200,400,50,1,10,200,200,60,100,60,80,60,80,60,80,1,1,60,80,60,80,60,80,1,10,10,20,1,5,1,4,1,5,4,10,1,10,1,3
6002,6010,Amistr,537,60000,0,1,7,0,60,1000000,200,400,50,1,10,200,200,60,100,60,80,60,80,60,80,1,1,60,80,60,80,60,80,1,10,10,20,1,5,1,4,1,5,4,10,1,10,1,3
6003,6011,Filir,537,60000,0,1,7,0,60,1000000,200,400,50,1,10,200,200,60,100,60,80,60,80,60,80,1,1,60,80,60,80,60,80,1,10,10,20,1,5,1,4,1,5,4,10,1,10,1,3
6004,6012,Vanilmirth,537,60000,0,1,7,0,60,1000000,200,400,50,1,10,200,200,60,100,60,80,60,80,60,80,1,1,60,80,60,80,60,80,1,10,10,20,1,5,1,4,1,5,4,10,1,10,1,3
6005,6013,Lif,537,60000,0,1,7,0,60,1000000,200,400,50,1,10,200,200,60,100,60,80,60,80,60,80,1,1,60,80,60,80,60,80,1,10,10,20,1,5,1,4,1,5,4,10,1,10,1,3
6006,6014,Amistr,537,60000,0,1,7,0,60,1000000,200,400,50,1,10,200,200,60,100,60,80,60,80,60,80,1,1,60,80,60,80,60,80,1,10,10,20,1,5,1,4,1,5,4,10,1,10,1,3
6007,6015,Filir,537,60000,0,1,7,0,60,1000000,200,400,50,1,10,200,200,60,100,60,80,60,80,60,80,1,1,60,80,60,80,60,80,1,10,10,20,1,5,1,4,1,5,4,10,1,10,1,3
6008,6016,Vanilmirth,537,60000,0,1,7,0,60,1000000,200,400,50,1,10,200,200,60,100,60,80,60,80,60,80,1,1,60,80,60,80,60,80,1,10,10,20,1,3,1,4,1,5,4,10,1,10,1,3
//6047,MER_MONSTER,Monster
//6048,MER_EIRA,Eira
//6049,MER_BAYERI,Bayeri
//6050,MER_SERA,Sera
//6051,MER_DIETER,Dieter
//6052,MER_ELEANOR,Elanor
//
//27 28
