// ID,DBName,kROName,iROName,Lvl,HP,SP,BaseExp,JobExp,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,MVPExp,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
//===================================================================================================================================================================================================================================================================================================================================================================================================================
//1921,EASTER_BUNNY,Easter Bunny,Easter Bunny,6,1800,0,60,55,1,20,26,0,40,1,36,6,1,11,80,10,10,0,2,60,0x000000B5,200,1456,456,336,0,0,0,,0,,0,,2250,200,515,8000,727,1200,746,1500,706,30,622,50,534,5000,0,,0,,4006,70
1970,Yondaime,Yondaime,Yondaime,99,88888888,88888888,99999999,99999999,1,8888,8888,30,60,888,888,888,888,888,300,10,12,1,7,24,0x00000FB5,200,480,480,480,3333333,10000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,	//Copy of Escorpi�o's values. (DB Name = SCORPION)
1971,Quatro_Caudas,Quatro_Caudas,Quatro Caudas,99,77777777,77777777,99999999,99999999,1,7777,7777,30,60,777,777,777,777,777,300,10,12,1,6,24,0x00000FB5,200,480,480,480,3333333,10000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,	//Copy of Yondaime's values. (DB Name = Yondaime)
1972,Tobi,Tobi,Tobi,99,88888888,88888888,99999999,99999999,1,8888,8888,30,60,888,888,888,888,888,300,10,12,1,7,24,0x00000FB5,200,480,480,480,3333333,10000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,	//Copy of Quatro_Caudas's values. (DB Name = Quatro_Caudas)
1973,Sakon,Sakon,Sakon,99,6000000,88888888,0,0,1,6000,7000,30,60,180,180,180,180,180,180,10,12,1,7,24,0x00000FB5,200,480,480,480,3333333,10000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12212,1	//Copy of Tobi's values. (DB Name = Tobi)
1974,Kidoumaru,Kidoumaru,Kidoumaru,99,6000000,88888888,60000000,99999999,1,6000,7000,30,60,180,180,180,180,180,180,10,12,1,7,24,0x00000FB5,200,480,480,480,3333333,10000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,	//Copy of Sakon's values. (DB Name = Sakon)
1975,Jirobou,Jirobou,Jirobou,99,6000000,88888888,60000000,99999999,1,6000,7000,30,60,180,180,180,180,180,180,10,12,1,7,24,0x00000FB5,200,480,480,480,3333333,10000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,	//Copy of Kidoumaru's values. (DB Name = Kidoumaru)
1976,Shikamaru,Shikamaru,Shikamaru,99,6000000,88888888,60000000,99999999,1,6000,7000,80,80,250,250,250,250,250,250,10,12,1,7,27,0x00000FB5,200,480,480,480,3333333,10000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,	//Copy of Jirobou's values. (DB Name = Jirobou)
/1977,Hinata,Hinata,Hinata,99,8000000,88888888,60000000,99999999,1,6000,7000,80,80,350,350,250,250,350,350,10,12,1,7,20,0x00000FB5,200,480,480,480,3333333,10000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,	//Copy of Shikamaru's values. (DB Name = Shikamaru)
1978,Kakashi,Kakashi,Kakashi,99,8000000,88888888,80000000,99999999,1,9999,7000,80,80,400,450,450,500,600,350,10,12,1,7,24,0x00000FB5,200,480,480,480,3333333,10000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,	//Copy of Hinata's values. (DB Name = Hinata)
//1979,Gama-Bunta,Gama-Bunta,Gama-Bunta,99,9000000,88888888,99999999,99999999,1,9999,9000,80,80,800,800,800,800,800,800,10,12,1,6,20,0x00000FB5,200,480,480,480,3333333,10000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,	//Copy of Kakashi's values. (DB Name = Kakashi)
1980,Jiraya,Jiraya,Jiraya,99,9000000,88888888,70000000,99999999,1,9999,9999,10,80,600,600,600,600,800,600,10,12,1,6,20,0x00000FB5,200,480,480,480,3333333,10000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,	//Copy of Gama-Bunta's values. (DB Name = Gama-Bunta)

//bijuus
//1981,Yonbi,Yonbi,Yonbi,400,62500000,1,1,1,2,18000,19000,80,80,600,600,50,500,750,300,10,12,2,9,80,0x4FB5,500,1306,1056,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,1,0,0
1981,Yonbi,Yonbi,Yonbi,400,62500000,1,1,1,2,18000,19000,80,80,600,600,50,500,750,300,10,12,2,9,80,0x4FB5,500,1306,1056,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,100,1079,1,0,0
//1982,gobi,Gobi,Gobi,500,59000000,1,1,1,5,30000,32000,85,55,600,230,50,550,300,250,10,12,2,7,80,0xFB5,100,1552,1152,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,1,0,0
1982,gobi,Gobi,Gobi,500,59000000,1,1,1,5,30000,32000,85,55,600,230,50,550,300,250,10,12,2,7,80,0xFB5,100,1552,1152,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,100,1079,1,0,0
//1983,shichibi,Shichibi,Shichibi,500,74000000,1,1,0,1,21000,22000,65,65,300,250,50,650,700,150,10,12,2,0,40,0xFB5,190,480,840,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,1,0,0
1983,shichibi,Shichibi,Shichibi,500,74000000,1,1,0,1,21000,22000,65,65,300,250,50,650,700,150,10,12,2,0,40,0xFB5,190,480,840,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,100,1079,1,0,0
//1984,nibi,Nibi,Nibi,200,57500000,1,1,1,3,30000,32000,65,75,500,200,50,400,600,200,10,12,2,7,40,0x3FBD,100,100,768,480,7150,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,1,0,0
1984,nibi,Nibi,Nibi,200,57500000,1,1,1,3,30000,32000,65,75,500,200,50,400,600,200,10,12,2,7,40,0x3FBD,100,100,768,480,7150,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,100,1079,1,0,0
//1985,rokubi,Rokubi,Rokubi,500,70000000,1,1,1,1,20000,21000,75,75,300,260,50,600,300,200,10,12,2,7,80,0xFB5,300,2276,576,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,1,0,0
1985,rokubi,Rokubi,Rokubi,500,70000000,1,1,1,1,20000,21000,75,75,300,260,50,600,300,200,10,12,2,7,80,0xFB5,300,2276,576,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,100,1079,1,0,0
//1986,sanbi,Sanbi,Sanbi,400,64000000,1,1,1,1,17000,18000,55,65,420,190,50,400,520,5200,10,12,2,7,80,0x5B5,250,1100,483,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,1,0,0
1986,sanbi,Sanbi,Sanbi,400,64000000,1,1,1,1,17000,18000,55,65,420,190,50,400,520,5200,10,12,2,7,80,0x5B5,250,1100,483,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,100,1079,1,0,0

//taka

//taka
1987,Taka,Experimento,Experimento,200,9000000,11000,12000,50,1,15000,20000,45,30,400,400,400,400,400,400,10,12,1,7,40,0x518D,100,480,480,648,0,0,0,0,0,0,0,0,7024,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Juugo,Juugo,Juugo,200,35000000,1,10000,0,1,30000,35000,40,60,888,888,600,600,999,600,10,12,1,7,80,0x45B5,100,624,624,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Karin,Karin,Karin,200,50000000,100000,10000,0,1,30000,31000,60,60,600,600,888,888,600,600,10,12,1,7,80,0x45BD,150,816,816,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Suigetsu,Suigetsu,Suigetsu,200,37000000,10000,10000,0,3,30000,60000,50,80,888,600,600,888,999,600,10,12,1,7,81,0x4BA5,100,480,480,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,Sasuke,Sasuke,Sasuke,200,33000000,1,10000,0,1,30000,35000,30,30,888,600,600,888,999,600,10,12,1,7,80,0x4FB5,50,480,480,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//Anbu
1992,CapAnbu,Capit�o ANBU,Capit�o ANBU,200,10000000,1,4000,4000,1,30000,35000,30,30,450,450,50,450,450,400,10,12,1,7,80,0x5B5,165,1543,1632,480,0,0,0,0,0,0,0,0,19171,100,7502,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//dokis
1657,doki1,Doki,Doki,99,5000,0,0,0,1,14000,24000,110,30,1200,1000,5,100,2000,200,10,12,1,7,48,0x3885,150,576,432,288,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
1993,doki2,Doki,Doki,999,214200,0,0,0,1,14000,24000,60,15,700,300,1,1000,2000,500,10,12,1,7,80,0x37B5,100,1008,864,288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
