// Structure of Database:
// SkillID,Cooldown
996,3000
967,30000
986,25000
985,70000
987,6000
981,85000
966,65000
317,3000
992,50000
250,8000
380,40000
159,2000
366,45000
129,2000
92,12000
462,30000
249,55000
379,6000
747,60000
486,50000
748,60000
525,2000
1004,1500
307,60000
970,60000
971,60000
972,60000
973,60000
974,60000
975,60000
976,60000
977,60000
978,60000
979,60000
190,4000
531,11000
113,28000
328,18000
528,8000
753,45000
754,45000
389,10000
399,4000
253,8000
267,10000
678,5000
677,5000
950,15000
179,4000
131,2000
130,3000
173,15000
532,10000
289,10000
264,1000
184,2000
370,2000
266,500
1016,1000
356,60000
207,60000
672,30000
653,16000
90,3000
185,2000
666,45000
659,5000
536,8000
83,16000
19,3000
534,2000
20,3000
990,15000
84,10000
541,15000
192,2000
15,2000
14,3000
539,24000
89,22000
540,3000
394,8000
400,15000
148,6000
191,2000
421,5000
136,2000
140,7000
404,35000
464,10000
78,12000
350,12000
219,12000
674,20000
763,10000
755,60000
403,60000
375,30000
7,10000
749,90000
750,90000
276,1500
374,10000
768,60000
769,60000
770,60000
771,60000
660,20000
18,15000
1006,20000
518,8000
157,75000
81,13000
662,5000
663,5000
667,5000
668,5000
752,100000
16,5000
268,40000
70,20000
1001,8000
214,2000
62,500
397,10000
530,8000
311,30000
28,3000
124,1500
176,3000
277,5000
544,4000
483,30000
775,60000
252,20000
773,15000
774,80000
993,6000
994,15000
732,45000
733,45000
734,45000
13,7000
381,7000
776,8000
777,45000
735,90000
776,8000
673,40000
513,40000
512,15000
1014,30000
152,12000
738,60000
739,60000
740,60000
741,60000
742,60000
743,60000
721,60000
722,60000
723,60000
728,60000
729,60000
730,60000
725,60000
726,60000
727,60000
91,2000
17,2000
88,2000
21,2000
11,2000
254,6000
411,1500
368,12000
521,500
35,6000
945,2400000
946,2400000
947,2400000
948,2400000
80,4000
217,25000
1005,8000
362,25000
529,1500
744,45000
745,45000
746,45000
372,10000
995,8000
247,10000
288,8000
182,2500
181,5000
30,6000
177,2500
523,1500
524,1500
244,3000
34,5000
29,5000
72,5000
35,5000
731,5000
//417,3000
//413,3000
//419,3000
//415,3000
200,8000
406,5000
85,16000
119,2000
949,90000
506,5000

//Portoes rework
951,45000
957,45000
958,45000
959,45000
960,45000
961,45000
962,45000
963,90000

964,60000
965,60000
150,2000
